standard_id,section_order,section_id,section_number,section_name,requirement,is_required,item_order,content_requirement,status,version,updated_at
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,1,URL-Struktur,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,2,Seitentitel,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,3,Meta Description,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,4,Canonical,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,5,Seitensprache,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,6,Indexierungsstatus,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,7,Open Graph,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,8,Twitter Cards,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,1,MLP_SECTION_01,01,Technische Seitendaten,PFLICHT,True,9,Strukturierte Daten,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,2,MLP_SECTION_02,02,Globale Navigation,PFLICHT,True,1,Logo und Startseitenlink,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,2,MLP_SECTION_02,02,Globale Navigation,PFLICHT,True,2,Hauptnavigation,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,2,MLP_SECTION_02,02,Globale Navigation,PFLICHT,True,3,Kontaktzugang,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,2,MLP_SECTION_02,02,Globale Navigation,PFLICHT,True,4,Barrierefreier Zugang zum Hauptinhalt,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,3,MLP_SECTION_03,03,Breadcrumbs,PFLICHT,True,1,Startseite,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,3,MLP_SECTION_03,03,Breadcrumbs,PFLICHT,True,2,Kategorie,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,3,MLP_SECTION_03,03,Breadcrumbs,PFLICHT,True,3,Aktuelle Landingpage,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,4,MLP_SECTION_04,04,Werbekennzeichnung,PFLICHT,True,1,Werbung oder Anzeige,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,4,MLP_SECTION_04,04,Werbekennzeichnung,PFLICHT,True,2,Vor kommerziellen Elementen sichtbar,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,4,MLP_SECTION_04,04,Werbekennzeichnung,PFLICHT,True,3,Auch mobil eindeutig erkennbar,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,5,MLP_SECTION_05,05,Hero-Bereich,PFLICHT,True,1,Hauptüberschrift H1,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,5,MLP_SECTION_05,05,Hero-Bereich,PFLICHT,True,2,Kurzbeschreibung,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,5,MLP_SECTION_05,05,Hero-Bereich,PFLICHT,True,3,Zentrale Kernaussage,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,5,MLP_SECTION_05,05,Hero-Bereich,PFLICHT,True,4,Optional zulässiges Hauptbild,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,5,MLP_SECTION_05,05,Hero-Bereich,PFLICHT,True,5,Primärer CTA,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,5,MLP_SECTION_05,05,Hero-Bereich,PFLICHT,True,6,Hinweis auf externe Weiterleitung,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,6,MLP_SECTION_06,06,Nutzerproblem,PFLICHT,True,1,Ausgangssituation,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,6,MLP_SECTION_06,06,Nutzerproblem,PFLICHT,True,2,Informationsbedarf,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,6,MLP_SECTION_06,06,Nutzerproblem,PFLICHT,True,3,Zu treffende Entscheidung,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,7,MLP_SECTION_07,07,Lösung,PFLICHT,True,1,Wie das Angebot helfen kann,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,7,MLP_SECTION_07,07,Lösung,PFLICHT,True,2,Rolle von Free Basics,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,7,MLP_SECTION_07,07,Lösung,PFLICHT,True,3,Rolle des Partners,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,7,MLP_SECTION_07,07,Lösung,PFLICHT,True,4,Rolle des eigentlichen Anbieters,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,8,MLP_SECTION_08,08,Produkt- oder Angebotsinformationen,PFLICHT,True,1,Produktname,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,8,MLP_SECTION_08,08,Produkt- oder Angebotsinformationen,PFLICHT,True,2,Partner,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,8,MLP_SECTION_08,08,Produkt- oder Angebotsinformationen,PFLICHT,True,3,Kategorie,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,8,MLP_SECTION_08,08,Produkt- oder Angebotsinformationen,PFLICHT,True,4,Zweck,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,8,MLP_SECTION_08,08,Produkt- oder Angebotsinformationen,PFLICHT,True,5,Funktionsweise,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,8,MLP_SECTION_08,08,Produkt- oder Angebotsinformationen,PFLICHT,True,6,Konditionen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,8,MLP_SECTION_08,08,Produkt- oder Angebotsinformationen,PFLICHT,True,7,Datenstand,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,9,MLP_SECTION_09,09,Eigenschaften,PFLICHT,True,1,Leistungsumfang,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,9,MLP_SECTION_09,09,Eigenschaften,PFLICHT,True,2,Vertragsart,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,9,MLP_SECTION_09,09,Eigenschaften,PFLICHT,True,3,Laufzeit,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,9,MLP_SECTION_09,09,Eigenschaften,PFLICHT,True,4,Kündigung,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,9,MLP_SECTION_09,09,Eigenschaften,PFLICHT,True,5,Verfügbarkeit,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,9,MLP_SECTION_09,09,Eigenschaften,PFLICHT,True,6,Technische oder persönliche Bedingungen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,10,MLP_SECTION_10,10,Voraussetzungen,PFLICHT,True,1,Mindestalter,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,10,MLP_SECTION_10,10,Voraussetzungen,PFLICHT,True,2,Wohnort oder Region,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,10,MLP_SECTION_10,10,Voraussetzungen,PFLICHT,True,3,Bonitätsprüfung,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,10,MLP_SECTION_10,10,Voraussetzungen,PFLICHT,True,4,Technische Voraussetzungen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,10,MLP_SECTION_10,10,Voraussetzungen,PFLICHT,True,5,Erforderliche Unterlagen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,10,MLP_SECTION_10,10,Voraussetzungen,PFLICHT,True,6,Sonstige Bedingungen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,11,MLP_SECTION_11,11,Geeignet für,PFLICHT,True,1,Passende Nutzergruppen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,11,MLP_SECTION_11,11,Geeignet für,PFLICHT,True,2,Sachliche Begründung,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,12,MLP_SECTION_12,12,Weniger geeignet für,PFLICHT,True,1,Unpassende Nutzergruppen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,12,MLP_SECTION_12,12,Weniger geeignet für,PFLICHT,True,2,Mögliche Ausschlussgründe,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,13,MLP_SECTION_13,13,Vorteile,PFLICHT,True,1,Konkrete Vorteile,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,13,MLP_SECTION_13,13,Vorteile,PFLICHT,True,2,Nur überprüfbare Aussagen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,13,MLP_SECTION_13,13,Vorteile,PFLICHT,True,3,Keine Superlative ohne Nachweis,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,14,MLP_SECTION_14,14,Nachteile,PFLICHT,True,1,Mögliche Nachteile,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,14,MLP_SECTION_14,14,Nachteile,PFLICHT,True,2,Variable Konditionen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,14,MLP_SECTION_14,14,Nachteile,PFLICHT,True,3,Externe Abhängigkeiten,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,15,MLP_SECTION_15,15,Ehrliche Einschränkungen,PFLICHT,True,1,Regionale Unterschiede,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,15,MLP_SECTION_15,15,Ehrliche Einschränkungen,PFLICHT,True,2,Zeitabhängige Preise,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,15,MLP_SECTION_15,15,Ehrliche Einschränkungen,PFLICHT,True,3,Persönliche Voraussetzungen,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,15,MLP_SECTION_15,15,Ehrliche Einschränkungen,PFLICHT,True,4,Nicht garantierte Ergebnisse,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
FBEP_MASTER_LANDINGPAGE_V1,16,MLP_SECTION_16,16,Kosten und Konditionen,PFLICHT,True,1,Preis oder Kostenmodell,ACTIVE,1.0.0,2026-07-17T16:27:01.248803+00:00
